,h3_05,worldpop2023_sum,adj_at_least_one,adj_exposed_airpol15_pop,adj_exposed_heat32_pop,adj_exposed_drought20_pop,adj_exposed_flood5_pop
2131,8552f54bfffffff,82296.8612293,49456.0,90766.0,0.0,0.0,49456.0
2132,8552f54ffffffff,193392.07962899999,123401.0,212622.0,0.0,0.0,123401.0
2133,8552f553fffffff,90604.6909857,97557.0,103157.0,0.0,0.0,97557.0
2134,8552f557fffffff,31015.6454261,32579.0,35077.0,0.0,0.0,32579.0
2135,8552f55bfffffff,46927.834399759995,46318.0,51135.0,0.0,0.0,46318.0
2136,8552f563fffffff,477187.2823597,373424.0,527134.0,0.0,0.0,373424.0
2137,8552f567fffffff,77774.649605,86707.0,89161.0,0.0,0.0,86707.0
2138,8552f56bfffffff,226904.626363,125473.0,260347.0,0.0,0.0,125473.0
2139,8552f56ffffffff,86059.4165183,76809.0,101577.0,0.0,0.0,76809.0
2140,8552f573fffffff,396362.886429009,364300.0,463046.0,0.0,0.0,364300.0
2141,8552f577fffffff,189987.175043,128240.0,211918.0,0.0,31856.0,96384.0
2142,8552f57bfffffff,220273.74342443002,42621.0,233269.0,0.0,0.0,42621.0
2143,8552f583fffffff,50490.187422,56974.0,56974.0,0.0,56974.0,29505.0
2144,8552f587fffffff,101145.017947,113243.0,113243.0,0.0,113243.0,0.0
