h3_05,population_score,displacement_score,climate_score,conflict_score,food_nutrition_security_score,access_services_score,economic_activity_score
85525c4bfffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c4ffffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c53fffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c57fffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c5bfffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c63fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
85525c67fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
85525c6bfffffff,0.035811156085167654,0.00043318174196966256,0.6924486244670833,0.3829367488252599,0.08191247001783039,0.7080512697603465,0.7489834808034973
85525c6ffffffff,0.03530421626591881,0.0007348640698747994,0.6656791563348825,0.3829367488252599,0.04576273585265193,0.6665195103327484,0.6449256580984886
85525c73fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
85525c77fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
85525c7bfffffff,0.03555342447925116,0.000586559061910372,0.6788388472326465,0.38293674882525985,0.0635337025861244,0.6869362445692444,0.6960797854621565
85525c83fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c87fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c8bfffffff,0.016521104724178958,1.7946077233215917e-05,0.6557764021470268,0.039634833385520714,0.013177713304013308,0.7099008245051892,0.858221845139385
85525c8ffffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c93fffffff,0.01437029588901034,0.0001246495428364583,0.6092435589030651,0.0,0.01148573544666171,0.7131263443661291,0.8299629636818278
85525c97fffffff,0.014238620867580631,2.7155782128527213e-05,0.643017913500188,0.0,0.001388053049507085,0.7051835721054651,0.8526283031960256
85525c9bfffffff,0.026532173059360294,3.61878555473579e-05,0.6910924876264859,0.21210712051615804,0.07052096817752294,0.7351792543267798,0.8690045386777993
85525ca3fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525ca7fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525cabfffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525caffffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
